Fuzzer,Intercept,# Lines of Code,# Source Files,# Namespaces,# Types,# Classes,# Structures,# Methods,# Fields,Average Nesting Depth for Methods,Average # Methods for Types,Average # Lines of Code for Methods,Average Cyclomatic Complexity for Methods,# Third-Party Methods Used,# Rules Violations
Aflplusplus_mopt,-5924,0.02,1.56,null,-9.95,7.65,29.36,-0.29,-1.09,7377,776.7,-283.1,-495.5,null,null
Aflplusplus,-6419,0.02,null,-47.21,-11.92,18.19,32.37,null,-1.13,7920,751,-305.9,-497.8,null,null
Aflplusplus_noalloc,-6437,0.02,null,-47.83,-11.93,18.3,32.34,null,-1.13,7940,751.9,-308.1,-494.3,null,null
AFLFAST,-7664,0.03,null,null,-13.94,12.29,39.23,null,-1.35,8992,987.5,-258.1,-790.7,-6.31,null
Aflsmart,-7939,0.03,null,null,-14.4,12.83,41.13,null,-1.44,9303,1023,-255,-856.6,-6.57,null
AFL,-7965,0.03,null,null,-14.44,12.81,41.31,null,-1.45,9319,1028,-255.5,-855.7,-6.66,null
Entropic,-4733,null,3.73,null,-10.67,7.48,23.46,null,-0.99,6128,656.2,-169.7,-613.1,null,0.01
Libfuzzer,-4397,null,3.93,null,-10.37,7.16,22.34,null,-0.98,5758,627.8,-167.5,-559.2,null,0.01
Fairfuzz,-6451.69,null,null,null,-11.33,8.79,29.63,null,-0.75,7534.15,809.56,-253.12,-585.86,null,null
Lafintel,-4989,null,3.66,null,-10.39,6.27,22.03,null,-0.93,6259,662,-141.4,-781.4,5.22,0.01
Eclipser,-3306,null,3.98,null,-6.01,3.13,14.76,-0.36,-0.51,4403,453.6,-265.3,null,null,0
Fastcgs,-7702.03,null,2.66,null,-12.49,9.74,29.59,null,-0.9,8405.22,951.84,-234.96,-772.13,null,null
Mopt,-8134.35,null,null,null,-14.8,10.76,42.52,null,-1.28,9219.6,1033.5,-177.01,-1145.91,null,null
Honggfuzz,-5144,0.04,null,null,-7.73,8.12,25.75,-0.33,-1.07,7100,608,-422.1,null,null,null
