Fuzzer,Intercept,MISRA # Lexical convention,MISRA # standard conversions,MISRA # Preprocessor,MISRA # Declarators,MISRA # Statements,MISRA # Library,MISRA # expressions,MISRA # Basic concepts,MISRA # Unnecessary Constructs,Method too many parameters,Project Efferent Coupling,Methods Too Big/complex,method too many local vars,types too many fields
Aflplusplus_mopt,-40.6,57.51,1.88,null,58.44,-2.14,-33.48,null,null,null,-4.89,77.47,null,null,null
Aflplusplus,24.41,58,1.92,null,73.45,-2.2,-31.83,null,null,null,-5.9,66.81,null,null,null
Aflplusplus_noalloc,29.99,58.04,1.9,null,73.76,-2.19,-31.97,null,null,null,-5.93,66.65,null,null,null
AFLFAST,-133.76,62.74,null,-3.91,79.15,-1.48,null,0.77,null,null,-10.8,53.58,null,null,null
Aflsmart,-159.26,63.34,null,-3.86,83.07,-1.53,null,0.8,null,null,-11.22,54.73,null,null,null
AFL,-166.81,63.43,null,-3.89,82.92,-1.54,null,0.8,null,null,-11.23,55.07,null,null,null
Entropic,583.79,65.51,null,null,41.36,-1.97,-33.16,null,null,null,null,60.77,19.4,-45.79,-49.02
Libfuzzer,150.48,65.69,null,null,null,-2.79,-26.97,null,3.79,null,-6.18,76.01,25.54,-63.91,null
Fairfuzz,-685.19,66.4,7.56,null,null,-3.62,-41.64,null,6.25,null,null,115.92,-19.78,null,null
Lafintel,50.1,66.61,null,null,null,-2.88,-26.1,null,3.61,null,-7.01,84.05,27.37,-66.06,null
Eclipser,359.63,69.48,null,null,null,-2.14,69.48,null,null,null,null,59.26,17.66,-42.13,null
Fastcgs,-835.07,72.82,1.79,-4.56,null,-3.52,null,null,8.17,null,-18.54,96.3,null,null,116.99
Mopt,-601.73,82.67,8.56,null,44.41,-3.27,-43.38,0.77,null,null,null,104.99,-32.36,null,null
Honggfuzz,486.73,139.31,null,null,null,-4.72,-37.64,0.9,null,-1.41,null,81.79,37.48,-124.8,null
